layer,county_fips,county_name,h3,black_alone_apportioned,black_alone_delta,black_alone_point,dem_votes_apportioned,dem_votes_delta,dem_votes_point,hispanic_or_latino_apportioned,hispanic_or_latino_delta,hispanic_or_latino_point,non_hispanic_white_alone_apportioned,non_hispanic_white_alone_delta,non_hispanic_white_alone_point,rep_votes_apportioned,rep_votes_delta,rep_votes_point,total_population_apportioned,total_population_delta,total_population_point,total_votes_apportioned,total_votes_delta,total_votes_point,voting_age_population_apportioned,voting_age_population_delta,voting_age_population_point,white_alone_apportioned,white_alone_delta,white_alone_point
precincts,001,Alamance,872a8b375ffffff,,,,19.763027,19.763027,0.0,,,,,,,45.726219,45.726219,0.0,,,,65.489245,65.489245,0.0,,,,,,
precincts,001,Alamance,872a8b376ffffff,,,,19.769081,-337.230919,357.0,,,,,,,45.740227,-780.259773,826.0,,,,65.509308,-1117.490692,1183.0,,,,,,
precincts,001,Alamance,872a8b3a1ffffff,,,,9.200135,9.200135,0.0,,,,,,,37.369451,37.369451,0.0,,,,46.569586,46.569586,0.0,,,,,,
precincts,001,Alamance,872a8b3a4ffffff,,,,4.35706,4.35706,0.0,,,,,,,17.826499,17.826499,0.0,,,,22.183559,22.183559,0.0,,,,,,
precincts,001,Alamance,872a8b3a5ffffff,,,,17.892478,17.892478,0.0,,,,,,,72.676337,72.676337,0.0,,,,90.568815,90.568815,0.0,,,,,,
precincts,001,Alamance,872a8b3a8ffffff,,,,14.525175,14.525175,0.0,,,,,,,58.998901,58.998901,0.0,,,,73.524076,73.524076,0.0,,,,,,
precincts,001,Alamance,872a8b3a9ffffff,,,,20.161365,20.161365,0.0,,,,,,,81.892186,81.892186,0.0,,,,102.053551,102.053551,0.0,,,,,,
precincts,001,Alamance,872a8b3abffffff,,,,5.047049,5.047049,0.0,,,,,,,20.500292,20.500292,0.0,,,,25.547341,25.547341,0.0,,,,,,
precincts,001,Alamance,872a8b3acffffff,,,,20.178006,20.178006,0.0,,,,,,,81.959782,81.959782,0.0,,,,102.137788,102.137788,0.0,,,,,,
precincts,001,Alamance,872a8b3adffffff,,,,20.170436,20.170436,0.0,,,,,,,81.929033,81.929033,0.0,,,,102.09947,102.09947,0.0,,,,,,
precincts,001,Alamance,872a8b3aeffffff,,,,1.071792,1.071792,0.0,,,,,,,4.353445,4.353445,0.0,,,,5.425237,5.425237,0.0,,,,,,
precincts,001,Alamance,872a8b85bffffff,,,,2.877307,2.877307,0.0,,,,,,,2.857967,2.857967,0.0,,,,5.735274,5.735274,0.0,,,,,,
precincts,001,Alamance,872a8b8c8ffffff,,,,49.043105,49.043105,0.0,,,,,,,58.124599,58.124599,0.0,,,,107.167704,107.167704,0.0,,,,,,
